EVA_ID,Station_Name,DS100,Country,UIC_Code
8175035,"Aschach/Donau Bahnhofstraße, Österreich",PADBB,Austria,81
8100390,Aschau im Zillertal,OAAZ,Austria,81
8100600,Aschbach NÖ,OAABH,Austria,81
8100188,Aspang,OAAS,Austria,81
8178038,"Aspang Markt Bahnhof (Bahnhofplatz), Aspang-Markt",PAAUL,Austria,81
8176315,"Aspangbahn Bahnhof (Vorplatz), Traiskirchen (A)",PAATQ,Austria,81
8178370,"Aspanger Straße, Seebenstein (A)",PAAUO,Austria,81
8170079,"Aspern Nord Bahnhof (U2), Wien (A)",OAWAU,Austria,81
8172377,"Aspern Nord Bhf (Nelson-Mandela-Platz), Wien (A)",PANMP,Austria,81
8170639,"Aspernstraße (U2), Wien (A)",PAAOC,Austria,81
8102046,Asten-Fisching,PAWDD,Austria,81
8100454,Attersee,OAAE,Austria,81
8101976,Attersee Schiffstation,PAAT,Austria,81
8100017,Attnang-Puchheim,XAAT,Austria,81
8187446,"Attnang-Puchheim Bahnhof (Zugang Bahnsteig 22), Ös",PAPHZ,Austria,81
8100637,Atzenbrugg,OAATZ,Austria,81
8100563,Au b.Bad Wimsbach,OAAUW,Austria,81
8100641,Auersthal,OAAUT,Austria,81
8178395,"Auersthal Bahnhst (Bahnstraße), Österreich",PAA B,Austria,81
8179013,"Augasse (Augasse/Althanstraße), Wien (A)",PAWAU,Austria,81
8189055,"Augasse (Josef-Ludwig-Wolf-Park), Wien (A)",PAWAE,Austria,81
8100639,Aurachkirchen,OAAUK,Austria,81
8177454,"Aurachkirchen Bahnhof (Vorplatz), Ohlsdorf (A)",PAAV,Austria,81
8177499,Aurachkirchen Feuerwehr,PAAYG,Austria,81
8100638,Aurolzmünster,OAAUH,Austria,81
8178207,"Ausschlag B54/Straßenkehre, Aspangberg-St. Peter (",PAAUM,Austria,81
8100642,Ausschlag-Zöbern,OAAUZ,Austria,81
8172012,"Aßmayergasse, Wien (A)",PAWAM,Austria,81
8179308,"B111, St. Stefan im Gailtal (A)",PAAOD,Austria,81
8171333,"B3/Abzw. Bahnhof, Saxen (A)",PAAER,Austria,81
8171058,"B3/Bahnhofstraße, Arbing (A)",PAADY,Austria,81
8197901,"B9/Staatsgrenze (Grenzübergang), Berg (A)",PABWB,Austria,81
8175002,"B94, Liebenfels (A)",PALP,Austria,81
8100164,Bad Aussee,XABA,Austria,81
8172074,"Bad Bahnhst (Gartenstraße), Ried im Innkreis (A)",PABDA,Austria,81
8100663,Bad Blumau,XABB,Austria,81
8100538,Bad Deutsch Altenburg,OABDA,Austria,81
8100192,Bad Erlach,OAER,Austria,81
8173276,"Bad Erlach Bahnhof (Wiener Neustädter Straße), Öst",PABEE,Austria,81
8100655,Bad Fischau,OABFS,Austria,81
8173103,"Bad Fischau Bahngasse, Österreich",PABFB,Austria,81
8173102,"Bad Fischau Wr.Neustädter Straße, Bad Fischau-Brun",PAAXT,Austria,81
8100653,Bad Fischau-Brunn,OABFB,Austria,81
8100095,Bad Gastein,XABG,Austria,81
8164238,"Bad Gastein Bahnhof (Bahnhofplatz), Österreich",PABGB,Austria,81
8194524,"Bad Gastein Feuerwehr, Österreich",PABGF,Austria,81
8194241,"Bad Gastein Gemeindesiedlung, Österreich",PABGG,Austria,81
8194250,"Bad Gastein Hirschkar, Österreich",PABGH,Austria,81
8100174,Bad Gleichenberg,OABG,Austria,81
8100160,Bad Goisern,OABAD,Austria,81
8100863,Bad Goisern Jodschwefelbad,OAGOI,Austria,81
8175122,"Bad Hall Bahnhof, Rohr im Kremstal (A)",PAACQ,Austria,81
8100097,Bad Hofgastein,XABH,Austria,81
8100157,Bad Ischl,XAIS,Austria,81
8171162,"Bad Kreuzen Bahnhof (B3), Grein (A)",PAAEI,Austria,81
8171163,"Bad Kreuzen Bahnhof (Vorplatz), Grein (A)",PAGKV,Austria,81
