origin_id,destination_id,origin_station_name,destination_station_name,min_duration_minutes,transfers,trains,check_date,origin_city_name,origin_eva_id,origin_latitude,origin_longitude,destination_city_name,destination_eva_id,destination_latitude,destination_longitude,route_length,hsr_share
8103000,5100028,Wien Hbf,Krakow Glowny,320,0,,2026-01-06,Vienna,8103000,48.185101,16.377113,Kraków,5100028,50.067194,19.947426,418.58244752001224,0.0
8103000,5100069,Wien Hbf,Wroclaw Glowny,316,0,,2026-01-06,Vienna,8103000,48.185101,16.377113,Wrocław,5100069,51.098078,17.037088,461.3435896127526,0.0
8103000,5100081,Wien Hbf,Poznan Glowny,434,6,,2026-01-06,Vienna,8103000,48.185101,16.377113,Poznań,5100081,52.401993,16.91087,625.9424968822846,0.0
8103000,7400002,Wien Hbf,Stockholm Central,1303,4,,2026-01-06,Vienna,8103000,48.185101,16.377113,Stockholm,7400002,59.330014,18.05763,2275.037291798752,0.46039312727162457
8103000,7900003,Wien Hbf,Ljubljana,316,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Ljubljana,7900003,46.058691,14.512937,444.4315968129705,0.2466594937704967
8103000,5600207,Wien Hbf,Bratislava hl.st.,56,0,,2026-01-06,Vienna,8103000,48.185101,16.377113,Bratislava,5600207,48.15891,17.106466,65.1438579873221,0.0
8800004,8103000,Bruxelles Midi,Wien Hbf,622,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Vienna,8103000,48.185101,16.377113,1137.2379100146086,0.46431297620819834
8800004,8800007,Bruxelles Midi,Antwerpen Centraal,34,0,,2026-01-06,Brussels,8800004,50.835376,4.335694,Antwerp,8800007,51.215811,4.421168,47.96186584797921,0.0
8800004,5400014,Bruxelles Midi,Praha hl.n.,656,8,,2026-01-06,Brussels,8800004,50.835376,4.335694,Prague,5400014,50.083062,14.436039,1094.264403036979,0.4681764785444104
8800004,8011160,Bruxelles Midi,Berlin Hbf,390,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Berlin,8011160,52.525592,13.369545,776.5492267333725,0.6044431961136075
8800004,8000096,Bruxelles Midi,Stuttgart Hbf,248,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Stuttgart,8000096,48.78478,9.182757,570.8353150272934,0.7141881085665924
8800004,8000261,Bruxelles Midi,München Hbf,375,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Munich,8000261,48.140232,11.558335,801.7178842742692,0.6537920074996328
