origin_id,destination_id,origin_station_name,destination_station_name,min_duration_minutes,transfers,trains,check_date,origin_city_name,origin_eva_id,origin_latitude,origin_longitude,destination_city_name,destination_eva_id,destination_latitude,destination_longitude
8800004,8002549,Bruxelles Midi,Hamburg Hbf,349,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Hamburg,8002549,53.552736,10.006909
8800004,8003368,Bruxelles Midi,Köln Messe/Deutz,119,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Cologne,8003368,50.940874,6.975001
8800004,8000105,Bruxelles Midi,Frankfurt(Main)Hbf,182,0,,2026-01-06,Brussels,8800004,50.835376,4.335694,Frankfurt,8000105,50.1066819,8.66282825
8800004,8000085,Bruxelles Midi,Düsseldorf Hbf,142,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Düsseldorf,8000085,51.219962,6.794319
8800004,8010205,Bruxelles Midi,Leipzig Hbf,399,8,,2026-01-06,Brussels,8800004,50.835376,4.335694,Leipzig,8010205,51.3454712,12.3820639
8800004,8000080,Bruxelles Midi,Dortmund Hbf,191,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Dortmund,8000080,51.517896,7.45929
8800004,8000098,Bruxelles Midi,Essen Hbf,168,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Essen,8000098,51.451355,7.014793
8800004,8000050,Bruxelles Midi,Bremen Hbf,325,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Bremen,8000050,53.083481,8.813834
8800004,8010085,Bruxelles Midi,Dresden Hbf,492,4,,2026-01-06,Brussels,8800004,50.835376,4.335694,Dresden,8010085,51.040563,13.732035
8800004,8000152,Bruxelles Midi,Hannover Hbf,294,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Hannover,8000152,52.376761,9.741021
8800004,8000284,Bruxelles Midi,Nürnberg Hbf,333,4,,2026-01-06,Brussels,8800004,50.835376,4.335694,Nuremberg,8000284,49.445616,11.082989
8800004,8000086,Bruxelles Midi,Duisburg Hbf,155,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Duisburg,8000086,51.429785,6.775903
8800004,8601242,Bruxelles Midi,Koebenhavns Lufthavn st,723,6,,2026-01-06,Brussels,8800004,50.835376,4.335694,Copenhagen,8601242,55.629605,12.649382
8800004,7100064,Bruxelles Midi,Barcelona Sants,546,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Barcelona,7100064,41.378914,2.140369
8800004,8700047,Bruxelles Midi,Bordeaux-St-Jean,271,2,,2026-01-06,Brussels,8800004,50.835376,4.335694,Bordeaux,8700047,44.826486,-0.55592
8103000,8800004,Wien Hbf,Bruxelles Midi,622,2,,2026-01-06,Vienna,8103000,48.185101,16.377113,Brussels,8800004,50.835376,4.335694
