,origin_id,destination_id,origin_name,destination_name,min_duration_minutes,transfers,trains,check_date,hsr_share,uses_hsr
63,8103000,5400014,Wien Hbf,Praha hl.n.,253,0,,2026-01-06,0.11992859023464351,False
64,8103000,8011160,Wien Hbf,Berlin Hbf,429,2,,2026-01-06,0.07460186098587752,False
65,8103000,8000096,Wien Hbf,Stuttgart Hbf,391,2,,2026-01-06,0.3703934377669014,False
66,8800004,8700074,Bruxelles Midi,Marseille-St-Charles,341,2,,2026-01-06,0.5806228232678509,True
67,8800004,8700152,Bruxelles Midi,Lyon Part Dieu,223,0,,2026-01-06,0.6411541985773087,True
68,8800004,8700065,Bruxelles Midi,Toulouse-Matabiau,435,2,,2026-01-06,0.13602094941684273,False
69,8800004,7800020,Bruxelles Midi,Zagreb Glavni kolodvor,1088,4,,2026-01-06,0.19170701761253986,False
70,8800004,5500728,Bruxelles Midi,Budapest-Nyugati,864,5,,2026-01-06,0.28160515448555234,False
71,8800004,8300262,Bruxelles Midi,Roma Tiburtina,778,4,,2026-01-06,0.3160359330465412,False
72,8800004,8300047,Bruxelles Midi,Milano Porta Garibaldi,538,4,,2026-01-06,0.0997849026489734,False
73,8800004,8300522,Bruxelles Midi,Torino Porta Susa,453,2,,2026-01-06,0.0,False
74,8800004,8300153,Bruxelles Midi,Genova Piazza Principe,588,4,,2026-01-06,0.0,False
75,8800004,8200100,Bruxelles Midi,Luxembourg,197,0,,2026-01-06,0.0,False
76,8800004,8400597,Bruxelles Midi,Tilburg,110,4,,2026-01-06,0.322445366086921,False
77,8800004,8400058,Bruxelles Midi,Amsterdam Centraal,117,0,,2026-01-06,0.18382527946855967,False
78,8800004,8400530,Bruxelles Midi,Rotterdam Centraal,69,0,,2026-01-06,0.0,False
79,8800004,5100065,Bruxelles Midi,Warszawa Centralna,755,4,,2026-01-06,0.15541233719036812,False
80,8800004,5100028,Bruxelles Midi,Krakow Glowny,859,4,,2026-01-06,0.011358792701999293,False
