origin_city,destination_city,air_origin_airport,air_destination_airport,air_distance_km,air_flight_duration_min,air_total_travel_time_min,air_overhead_min,origin_city_lat,origin_city_lng,destination_city_lat,destination_city_lng,rail_origin_station_name,rail_destination_station_name,rail_travel_time_mins,rail_uses_hsr,rail_origin_transit_time_mins,rail_destination_transit_time_mins,rail_total_travel_time_min,best_time_min
Amsterdam,Milan,AMS,LIN,830.0,100.0,247.48,147.48,52.3728,4.8936,45.4669,9.19,Amsterdam Centraal,Milano Porta Garibaldi,684.0,False,1.9520337879727412,4.707315782392735,700.6593495703654,247.48
Amsterdam,Munich,AMS,MUC,665.0,85.0,265.17,180.17000000000002,52.3728,4.8936,48.1375,11.575,Amsterdam Centraal,München Hbf,429.0,False,1.9520337879727412,3.0560823139438047,444.0081161019166,265.17
Amsterdam,Málaga,AMS,AGP,1883.0,185.0,333.88,148.88,52.3728,4.8936,36.7194,-4.42,,,,,,,,333.88
Amsterdam,Naples,AMS,NAP,1461.0,145.0,292.26,147.26,52.3728,4.8936,40.8333,14.25,,,,,,,,292.26
Amsterdam,Nuremberg,AMS,NUE,543.0,75.0,218.72,143.72,52.3728,4.8936,49.4539,11.0775,Amsterdam Centraal,Nürnberg Hbf,387.0,False,1.9520337879727412,2.407122595922898,401.35915638389565,218.72
Amsterdam,Paris,AMS,CDG,399.0,80.0,250.93,170.93,52.3728,4.8936,48.8567,2.3522,,,,,,,,250.93
Amsterdam,Poznań,AMS,POZ,821.0,100.0,247.71,147.71,52.3728,4.8936,52.4083,16.9336,Amsterdam Centraal,Poznan Glowny,513.0,False,1.9520337879727412,4.065435329407926,529.0174691173806,247.71
Amsterdam,Prague,AMS,PRG,707.0,90.0,243.85,153.85,52.3728,4.8936,50.0875,14.4214,Amsterdam Centraal,Praha hl.n.,626.0,False,1.9520337879727412,2.772415453338628,640.7244492413114,243.85
Amsterdam,Riga,AMS,RIX,1337.0,135.0,284.36,149.36,52.3728,4.8936,56.9489,24.1064,,,,,,,,284.36
Amsterdam,Rome,AMS,FCO,1298.0,135.0,305.25,170.25,52.3728,4.8936,41.8933,12.4828,Amsterdam Centraal,Roma Tiburtina,1151.0,True,1.9520337879727412,10.76586299605856,1173.7178967840314,305.25
Amsterdam,Rotterdam,,,,,,,,,,,Amsterdam Centraal,Rotterdam Centraal,42.0,True,1.9520337879727412,2.249226316777232,56.20126010474997,56.20126010474997
Amsterdam,Sevilla,AMS,SVQ,1851.0,175.0,325.15,150.14999999999998,52.3728,4.8936,37.39,-5.99,,,,,,,,325.15
Amsterdam,Sofia,AMS,SOF,1757.0,165.0,312.53,147.52999999999997,52.3728,4.8936,42.7,23.33,,,,,,,,312.53
Amsterdam,Stockholm,AMS,ARN,1155.0,120.0,311.71,191.70999999999998,52.3728,4.8936,59.3294,18.0686,Amsterdam Centraal,Stockholm Central,1056.0,False,1.9520337879727412,1.5022922376589065,1069.4543260256316,311.71
Amsterdam,Stuttgart,AMS,STR,510.0,70.0,221.55,151.55,52.3728,4.8936,48.7775,9.18,Amsterdam Centraal,Stuttgart Hbf,295.0,True,1.9520337879727412,2.002376007570269,308.95440979554303,221.55
Amsterdam,Tallinn,AMS,TLL,1474.0,140.0,282.69,142.69,52.3728,4.8936,59.4372,24.7453,,,,,,,,282.69
Amsterdam,Tilburg,,,,,,,,,,,Amsterdam Centraal,Tilburg,81.0,False,1.9520337879727412,2.8326204398011785,95.78465422777391,95.78465422777391
Amsterdam,Toulouse,AMS,TLS,997.0,110.0,256.44,146.44,52.3728,4.8936,43.6045,1.444,Amsterdam Centraal,Toulouse-Matabiau,582.0,False,1.9520337879727412,2.6617812245934145,596.6138150125661,256.44
Amsterdam,Turin,AMS,TRN,819.0,100.0,256.12,156.12,52.3728,4.8936,45.0792,7.6761,Amsterdam Centraal,Torino Porta Susa,610.0,False,1.9520337879727412,2.8476007865249664,624.7996345744976,256.12
Amsterdam,Valencia,AMS,VLC,1480.0,145.0,295.02,150.01999999999998,52.3728,4.8936,39.47,-0.3764,,,,,,,,295.02
Amsterdam,Vienna,AMS,VIE,960.0,110.0,272.89,162.89,52.3728,4.8936,48.2083,16.3725,Amsterdam Centraal,Wien Hbf,676.0,False,1.9520337879727412,6.245212775155993,694.1972465631287,272.89
Amsterdam,Vilnius,AMS,VNO,1381.0,130.0,274.36,144.36,52.3728,4.8936,54.6872,25.28,,,,,,,,274.36
Amsterdam,Warsaw,AMS,WAW,1105.0,115.0,262.59,147.58999999999997,52.3728,4.8936,52.23,21.0111,Amsterdam Centraal,Warszawa Centralna,660.0,False,1.9520337879727412,1.3212540896707794,673.2732878776435,262.59
Amsterdam,Wrocław,,,,,,,,,,,Amsterdam Centraal,Wroclaw Glowny,644.0,False,1.9520337879727412,3.2731677390709937,659.2252015270437,659.2252015270437
