departure_city_name,departure_airport_code,arrival_city_name,arrival_airport_code,distance_km,flight_duration_minutes,total_travel_time_mins
stockholm,ARN,rome,FCO,2024,190,397.96
stockholm,ARN,hamburg,HAM,826,95,283.28
stockholm,ARN,prague,PRG,1087,115,306.56
stockholm,ARN,athens,ATH,2452,215,419.52
stockholm,ARN,madrid,MAD,2603,245,441.16
stockholm,ARN,budapest,BUD,1362,140,340.41
stockholm,ARN,krakow,KRK,1072,120,310.25
stockholm,ARN,lisbon,LIS,3003,275,457.7
stockholm,ARN,milan,BGY,1649,165,407.71
stockholm,ARN,milan,LIN,1681,160,345.19
stockholm,ARN,milan,MXP,1676,170,406.59
stockholm,ARN,brussels,CRL,1332,140,380.22
stockholm,ARN,stuttgart,STR,1344,135,324.26
stockholm,ARN,poznan,POZ,808,95,280.42
stockholm,ARN,cologne,CGN,1190,125,319.99
stockholm,ARN,luxembourg,LUX,1343,165,348.7
stockholm,ARN,paris,ORY,1576,175,371.15
stockholm,ARN,zagreb,ZAG,1553,145,336.23
stockholm,ARN,paris,BVA,1520,155,433.64
stockholm,ARN,valencia,VLC,2587,235,422.73
stockholm,ARN,turin,TRN,1749,170,363.83
stockholm,ARN,hannover,HAJ,949,105,295.31
stockholm,ARN,lyon,LYS,1769,165,368.42
stockholm,ARN,marseille,MRS,1999,195,399.87
stockholm,ARN,naples,NAP,2102,195,379.97
stockholm,ARN,bucharest,OTP,1765,165,363.06
stockholm,ARN,sevilla,SVQ,2998,270,457.86
athens,ATH,rome,FCO,1087,125,308.05
athens,ATH,paris,CDG,2110,210,393.74
athens,ATH,munich,MUC,1518,160,352.97
athens,ATH,frankfurt,FRA,1818,185,350.32
athens,ATH,milan,MXP,1523,160,371.69
athens,ATH,amsterdam,AMS,2184,220,386.81
athens,ATH,madrid,MAD,2383,235,406.26
athens,ATH,vienna,VIE,1279,140,315.7
athens,ATH,barcelona,BCN,1909,195,363.16
athens,ATH,brussels,BRU,2103,200,365.97
athens,ATH,bucharest,OTP,758,95,268.15
athens,ATH,warsaw,WAW,1598,155,315.39
athens,ATH,paris,ORY,2109,215,386.24
athens,ATH,copenhagen,CPH,2141,200,360.64
athens,ATH,berlin,BER,1797,175,352.27
athens,ATH,dusseldorf,DUS,2004,195,352.54
athens,ATH,naples,NAP,893,110,270.06
athens,ATH,sofia,SOF,529,75,235.34
athens,ATH,budapest,BUD,1122,130,305.5
athens,ATH,lisbon,LIS,2876,275,432.79
athens,ATH,prague,PRG,1556,160,326.66
athens,ATH,stockholm,ARN,2452,220,424.52
athens,ATH,lyon,LYS,1783,185,363.51
athens,ATH,brussels,CRL,2077,205,420.32
athens,ATH,bordeaux,BOD,2188,215,379.33
athens,ATH,hamburg,HAM,2045,195,358.38
athens,ATH,marseille,MRS,1692,175,354.96
athens,ATH,milan,BGY,1458,150,367.81
athens,ATH,cologne,CGN,1956,190,360.09
athens,ATH,krakow,KRK,1388,145,310.34
athens,ATH,malaga,AGP,2515,240,401.68
athens,ATH,helsinki,HEL,2490,215,389.47
athens,ATH,riga,RIX,2110,195,357.17
athens,ATH,stuttgart,STR,1685,170,334.36
athens,ATH,tilburg,EIN,2090,205,390.33
athens,ATH,toulouse,TLS,2000,195,354.24
athens,ATH,vilnius,VNO,1859,175,332.17
athens,ATH,luxembourg,LUX,1921,185,343.8
athens,ATH,zagreb,ZAG,1084,120,286.33
athens,ATH,bratislava,BTS,1261,130,292.07
athens,ATH,hannover,HAJ,1956,185,350.41
athens,ATH,valencia,VLC,2124,195,357.82
athens,ATH,nuremberg,NUE,1645,160,316.52
athens,ATH,tallinn,TLL,2389,220,375.49
athens,ATH,ljubljana,LJU,1208,125,305.34
athens,ATH,sevilla,SVQ,2622,240,402.96
athens,ATH,gothenburg,GOT,2353,210,389.78
bucharest,BBU,madrid,MAD,2463,250,402.38
bucharest,BBU,malaga,AGP,2711,255,397.8
bucharest,BBU,sevilla,SVQ,2784,260,404.08
barcelona,BCN,madrid,MAD,483,85,244.81
barcelona,BCN,rome,FCO,850,110,281.6
barcelona,BCN,amsterdam,AMS,1240,150,305.36
barcelona,BCN,milan,MXP,720,105,305.24
barcelona,BCN,paris,CDG,856,120,292.28
barcelona,BCN,lisbon,LIS,995,120,266.34
barcelona,BCN,paris,ORY,825,110,269.79
barcelona,BCN,sevilla,SVQ,810,100,251.51
barcelona,BCN,malaga,AGP,766,100,250.23
barcelona,BCN,frankfurt,FRA,1094,135,288.87
barcelona,BCN,munich,MUC,1095,125,306.52
barcelona,BCN,brussels,BRU,1082,130,284.52
barcelona,BCN,vienna,VIE,1371,145,309.24
barcelona,BCN,berlin,BER,1503,165,330.81
barcelona,BCN,copenhagen,CPH,1769,180,329.18
barcelona,BCN,dusseldorf,DUS,1165,140,286.09
barcelona,BCN,athens,ATH,1909,170,338.16
barcelona,BCN,stuttgart,STR,993,125,277.9
barcelona,BCN,hamburg,HAM,1493,165,316.93
barcelona,BCN,naples,NAP,1026,120,268.61
barcelona,BCN,prague,PRG,1359,150,305.2
barcelona,BCN,budapest,BUD,1525,155,319.05
barcelona,BCN,stockholm,ARN,2316,220,413.07
barcelona,BCN,cologne,CGN,1132,140,298.63
barcelona,BCN,lyon,LYS,547,90,257.06
barcelona,BCN,warsaw,WAW,1872,185,333.94
barcelona,BCN,milan,BGY,783,105,311.35
barcelona,BCN,bucharest,OTP,1984,195,356.7
barcelona,BCN,sofia,SOF,1769,170,318.89
barcelona,BCN,turin,TRN,625,90,247.48
barcelona,BCN,helsinki,HEL,2631,240,403.02
barcelona,BCN,bordeaux,BOD,452,75,227.88
barcelona,BCN,paris,BVA,906,120,362.29
barcelona,BCN,brussels,CRL,1034,135,338.87
barcelona,BCN,krakow,KRK,1682,170,323.89
barcelona,BCN,luxembourg,LUX,980,135,282.35
barcelona,BCN,tilburg,EIN,1156,135,308.87
barcelona,BCN,marseille,MRS,351,70,238.51
barcelona,BCN,vilnius,VNO,2261,210,355.71
barcelona,BCN,riga,RIX,2340,215,365.71
barcelona,BCN,rotterdam,RTM,1196,135,280.14
barcelona,BCN,valencia,VLC,295,60,211.37
barcelona,BCN,gothenburg,GOT,1959,190,358.33
barcelona,BCN,hannover,HAJ,1367,155,308.95
barcelona,BCN,nuremberg,NUE,1149,140,285.07
barcelona,BCN,genoa,GOA,652,100,248.15
barcelona,BCN,zagreb,ZAG,1231,125,279.88
barcelona,BCN,milan,LIN,743,100,248.83
barcelona,BCN,tallinn,TLL,2556,245,389.04
berlin,BER,frankfurt,FRA,430,70,232.97
berlin,BER,vienna,VIE,520,75,248.35
berlin,BER,munich,MUC,462,70,260.62
berlin,BER,amsterdam,AMS,595,85,249.46
berlin,BER,paris,CDG,857,110,291.39
berlin,BER,copenhagen,CPH,367,60,218.29
berlin,BER,stuttgart,STR,510,70,232.01
berlin,BER,barcelona,BCN,1503,155,320.81
berlin,BER,rome,FCO,1179,130,310.71
berlin,BER,cologne,CGN,471,65,232.74
berlin,BER,helsinki,HEL,1130,115,287.12
berlin,BER,paris,ORY,886,115,283.89
berlin,BER,dusseldorf,DUS,479,70,225.19
berlin,BER,madrid,MAD,1852,190,358.91
berlin,BER,brussels,BRU,645,85,248.62
berlin,BER,stockholm,ARN,856,95,297.17
berlin,BER,athens,ATH,1797,165,342.27
berlin,BER,lisbon,LIS,2307,220,375.44
berlin,BER,milan,LIN,827,105,262.94
berlin,BER,warsaw,WAW,510,70,228.05
berlin,BER,budapest,BUD,686,90,263.16
berlin,BER,malaga,AGP,2242,215,374.34
berlin,BER,riga,RIX,843,98,257.82
berlin,BER,luxembourg,LUX,595,90,246.45
berlin,BER,naples,NAP,1277,135,292.72
berlin,BER,milan,BGY,795,100,315.46
berlin,BER,sofia,SOF,1306,135,292.99
berlin,BER,valencia,VLC,1788,180,340.47
berlin,BER,vilnius,VNO,820,95,249.82
berlin,BER,tallinn,TLL,1053,110,263.14
berlin,BER,krakow,KRK,507,75,238.0
berlin,BER,milan,MXP,826,105,314.34
berlin,BER,gothenburg,GOT,595,75,252.43
berlin,BER,bucharest,OTP,1267,130,300.81
berlin,BER,marseille,MRS,1167,130,307.62
berlin,BER,bordeaux,BOD,1337,145,306.99
berlin,BER,zagreb,ZAG,760,85,248.98
berlin,BER,toulouse,TLS,1324,150,306.89
berlin,BER,lyon,LYS,960,115,291.17
milan,BGY,bucharest,OTP,1292,130,341.34
milan,BGY,brussels,CRL,660,95,348.51
milan,BGY,naples,NAP,648,85,283.26
milan,BGY,sofia,SOF,1143,120,318.53
milan,BGY,barcelona,BCN,783,100,306.35
milan,BGY,copenhagen,CPH,1127,125,323.83
milan,BGY,vienna,VIE,589,80,293.89
