from_city_name,from_airport_code,to_city_name,to_airport_code,distance_km,flight_duration_minutes,total_journey_time_mins
Stockholm,ARN,Copenhagen,CPH,547,70,255.54
Stockholm,ARN,Helsinki,HEL,399,60,259.37
Stockholm,ARN,Amsterdam,AMS,1155,125,316.71
Stockholm,ARN,Tallinn,TLL,389,60,240.39
Stockholm,ARN,Gothenburg,GOT,394,60,264.68
Stockholm,ARN,Paris,CDG,1542,155,363.64
Stockholm,ARN,Munich,MUC,1318,135,352.87
Stockholm,ARN,Malaga,AGP,3018,265,451.59
Stockholm,ARN,Frankfurt,FRA,1223,135,325.22
Stockholm,ARN,Riga,RIX,466,65,252.07
Stockholm,ARN,Vienna,VIE,1286,135,335.6
Stockholm,ARN,Berlin,BER,856,95,297.17
Stockholm,ARN,Brussels,BRU,1291,135,325.87
Stockholm,ARN,Vilnius,VNO,712,85,267.07
Stockholm,ARN,Warsaw,WAW,853,100,285.3
Stockholm,ARN,Barcelona,BCN,2316,215,408.07
Stockholm,ARN,Dusseldorf,DUS,1166,120,302.44
Stockholm,ARN,Rome,FCO,2024,190,397.96
Stockholm,ARN,Hamburg,HAM,826,95,283.28
Stockholm,ARN,Prague,PRG,1087,115,306.56
Stockholm,ARN,Athens,ATH,2452,215,419.52
Stockholm,ARN,Madrid,MAD,2603,245,441.16
Stockholm,ARN,Budapest,BUD,1362,140,340.41
Stockholm,ARN,Dublin,DUB,1628,165,352.71
Stockholm,ARN,Krakow,KRK,1072,120,310.25
Stockholm,ARN,Lisbon,LIS,3003,275,457.7
Stockholm,ARN,Milan,BGY,1649,165,407.71
Stockholm,ARN,Milan,LIN,1681,160,345.19
Stockholm,ARN,Milan,MXP,1676,170,406.59
Stockholm,ARN,Brussels,CRL,1332,140,380.22
Stockholm,ARN,Stuttgart,STR,1344,135,324.26
Stockholm,ARN,Poznan,POZ,808,95,280.42
Stockholm,ARN,Cologne,CGN,1190,125,319.99
Stockholm,ARN,Larnaca,LCA,2981,255,489.98
