origin_id,destination_id,origin_name,destination_name,min_duration_minutes,transfers,trains,check_date
8800004,5100028,Bruxelles Midi,Krakow Glowny,859,4,,2026-01-06
8800004,5100069,Bruxelles Midi,Wroclaw Glowny,683,4,,2026-01-06
8800004,5100081,Bruxelles Midi,Poznan Glowny,608,4,,2026-01-06
8800004,7400002,Bruxelles Midi,Stockholm Central,1171,4,,2026-01-06
8800004,7900003,Bruxelles Midi,Ljubljana,833,6,,2026-01-06
8800004,5600207,Bruxelles Midi,Bratislava hl.st.,705,4,,2026-01-06
8800007,8103000,Antwerpen Centraal,Wien Hbf,653,4,,2026-01-06
8800007,8800004,Antwerpen Centraal,Bruxelles Midi,33,0,,2026-01-06
8800007,5400014,Antwerpen Centraal,Praha hl.n.,691,6,,2026-01-06
8800007,8011160,Antwerpen Centraal,Berlin Hbf,421,4,,2026-01-06
8800007,8000096,Antwerpen Centraal,Stuttgart Hbf,317,4,,2026-01-06
8800007,8000261,Antwerpen Centraal,München Hbf,433,4,,2026-01-06
8800007,8002549,Antwerpen Centraal,Hamburg Hbf,380,4,,2026-01-06
8800007,8003368,Antwerpen Centraal,Köln Messe/Deutz,152,4,,2026-01-06
8800007,8000105,Antwerpen Centraal,Frankfurt(Main)Hbf,213,2,,2026-01-06
8800007,8000085,Antwerpen Centraal,Düsseldorf Hbf,173,4,,2026-01-06
8800007,8010205,Antwerpen Centraal,Leipzig Hbf,435,4,,2026-01-06
8800007,8000080,Antwerpen Centraal,Dortmund Hbf,236,6,,2026-01-06
8800007,8000098,Antwerpen Centraal,Essen Hbf,209,8,,2026-01-06
8800007,8000050,Antwerpen Centraal,Bremen Hbf,339,8,,2026-01-06
8800007,8010085,Antwerpen Centraal,Dresden Hbf,523,6,,2026-01-06
8800007,8000152,Antwerpen Centraal,Hannover Hbf,325,4,,2026-01-06
8800007,8000284,Antwerpen Centraal,Nürnberg Hbf,364,4,,2026-01-06
8800007,8000086,Antwerpen Centraal,Duisburg Hbf,189,4,,2026-01-06
8800007,8601242,Antwerpen Centraal,Koebenhavns Lufthavn st,754,8,,2026-01-06
8800007,7100064,Antwerpen Centraal,Barcelona Sants,590,4,,2026-01-06
8800007,8700012,Antwerpen Centraal,Paris Lyon Banlieue,154,4,,2026-01-06
8800007,8700047,Antwerpen Centraal,Bordeaux-St-Jean,313,2,,2026-01-06
8800007,8700074,Antwerpen Centraal,Marseille-St-Charles,381,2,,2026-01-06
8800007,8700152,Antwerpen Centraal,Lyon Part Dieu,289,2,,2026-01-06
8800007,8700065,Antwerpen Centraal,Toulouse-Matabiau,475,2,,2026-01-06
8800007,7800020,Antwerpen Centraal,Zagreb Glavni kolodvor,1145,6,,2026-01-06
8800007,5500728,Antwerpen Centraal,Budapest-Nyugati,895,7,,2026-01-06
8800007,8300262,Antwerpen Centraal,Roma Tiburtina,847,4,,2026-01-06
8800007,8300047,,,-1,0,,2026-01-06
8800007,8300522,,,-1,0,,2026-01-06
8800007,8300153,,,-1,0,,2026-01-06
8800007,8200100,,,-1,0,,2026-01-06
8103000,5400014,,,-1,0,,2026-01-06
8103000,8011160,,,-1,0,,2026-01-06
8800007,8300047,Antwerpen Centraal,Milano Porta Garibaldi,601,4,,2026-01-06
8800007,8300522,Antwerpen Centraal,Torino Porta Susa,522,2,,2026-01-06
8800007,8300153,Antwerpen Centraal,Genova Piazza Principe,657,4,,2026-01-06
8800007,8200100,Antwerpen Centraal,Luxembourg,235,2,,2026-01-06
8800007,8400597,Antwerpen Centraal,Tilburg,58,2,,2026-01-06
8800007,8400058,Antwerpen Centraal,Amsterdam Centraal,80,0,,2026-01-06
8800007,8400530,Antwerpen Centraal,Rotterdam Centraal,32,0,,2026-01-06
8800007,5100065,Antwerpen Centraal,Warszawa Centralna,745,8,,2026-01-06
8800007,5100028,Antwerpen Centraal,Krakow Glowny,1020,6,,2026-01-06
8800007,5100069,Antwerpen Centraal,Wroclaw Glowny,740,6,,2026-01-06
8800007,5100081,Antwerpen Centraal,Poznan Glowny,598,8,,2026-01-06
8800007,7400002,Antwerpen Centraal,Stockholm Central,1166,6,,2026-01-06
8800007,7900003,Antwerpen Centraal,Ljubljana,924,6,,2026-01-06
8800007,5600207,Antwerpen Centraal,Bratislava hl.st.,736,6,,2026-01-06
5400014,8103000,Praha hl.n.,Wien Hbf,252,2,,2026-01-06
5400014,8800004,Praha hl.n.,Bruxelles Midi,660,8,,2026-01-06
5400014,8800007,Praha hl.n.,Antwerpen Centraal,695,6,,2026-01-06
5400014,8011160,Praha hl.n.,Berlin Hbf,237,0,,2026-01-06
5400014,8000096,Praha hl.n.,Stuttgart Hbf,447,4,,2026-01-06
5400014,8000261,Praha hl.n.,München Hbf,341,0,,2026-01-06
5400014,8002549,Praha hl.n.,Hamburg Hbf,400,2,,2026-01-06
5400014,8003368,Praha hl.n.,Köln Messe/Deutz Gl.11-12,519,4,,2026-01-06
5400014,8000105,Praha hl.n.,Frankfurt(Main)Hbf,433,4,,2026-01-06
5400014,8000085,Praha hl.n.,Düsseldorf Hbf,519,2,,2026-01-06
5400014,8010205,Praha hl.n.,Leipzig Hbf,240,2,,2026-01-06
5400014,8000080,Praha hl.n.,Dortmund Hbf,460,2,,2026-01-06
5400014,8000098,Praha hl.n.,Essen Hbf,486,2,,2026-01-06
5400014,8000050,Praha hl.n.,Bremen Hbf,439,4,,2026-01-06
5400014,8010085,Praha hl.n.,Dresden Hbf,139,0,,2026-01-06
5400014,8000152,Praha hl.n.,Hannover Hbf,357,2,,2026-01-06
5400014,8000284,Praha hl.n.,Nürnberg Hbf,280,2,,2026-01-06
5400014,8000086,Praha hl.n.,Duisburg Hbf,500,2,,2026-01-06
5400014,8601242,Praha hl.n.,Koebenhavns Lufthavn st,892,2,,2026-01-06
5400014,7100064,Praha hl.n.,Barcelona Sants,1492,6,,2026-01-06
5400014,8700012,Praha hl.n.,Paris Lyon Banlieue,921,6,,2026-01-06
5400014,8700047,Praha hl.n.,Bordeaux-St-Jean,1063,6,,2026-01-06
5400014,8700074,Praha hl.n.,Marseille-St-Charles,1123,6,,2026-01-06
5400014,8700152,Praha hl.n.,Lyon Part Dieu,988,6,,2026-01-06
5400014,8700065,Praha hl.n.,Toulouse-Matabiau,1244,8,,2026-01-06
5400014,7800020,Praha hl.n.,Zagreb Glavni kolodvor,719,4,,2026-01-06
5400014,5500728,Praha hl.n.,Budapest-Nyugati,411,0,,2026-01-06
5400014,8300262,Praha hl.n.,Roma Tiburtina,993,8,,2026-01-06
5400014,8300047,Praha hl.n.,Milano Porta Garibaldi Passante,868,6,,2026-01-06
5400014,8300522,Praha hl.n.,Torino Porta Susa,1067,8,,2026-01-06
5400014,8300153,Praha hl.n.,Genova Piazza Principe,1183,8,,2026-01-06
5400014,8200100,,,-1,0,,2026-01-06
5400014,8400597,,,-1,0,,2026-01-06
5400014,8400058,,,-1,0,,2026-01-06
5400014,8400530,,,-1,0,,2026-01-06
5400014,5100065,,,-1,0,,2026-01-06
5400014,5100028,,,-1,0,,2026-01-06
5400014,5100069,,,-1,0,,2026-01-06
5400014,5100081,,,-1,0,,2026-01-06
5400014,7400002,,,-1,0,,2026-01-06
5400014,7900003,Praha hl.n.,Ljubljana,615,6,,2026-01-06
5400014,5600207,Praha hl.n.,Bratislava hl.st.,265,0,,2026-01-06
8011160,8103000,Berlin Hbf,Wien Hbf,431,2,,2026-01-06
8011160,8800004,Berlin Hbf,Bruxelles Midi,391,2,,2026-01-06
8011160,8800007,Berlin Hbf,Antwerpen Centraal,422,4,,2026-01-06
8011160,5400014,Berlin Hbf,Praha hl.n.,237,0,,2026-01-06
8011160,8000096,Berlin Hbf,Stuttgart Hbf,317,2,,2026-01-06
8011160,8000261,Berlin Hbf,München Hbf,235,0,,2026-01-06
8011160,8002549,Berlin Hbf,Hamburg Hbf,148,0,,2026-01-06
8011160,8003368,Berlin Hbf,Köln Messe/Deutz,251,2,,2026-01-06
8011160,8000105,Berlin Hbf,Frankfurt(Main)Hbf,231,0,,2026-01-06
8011160,8000085,Berlin Hbf,Düsseldorf Hbf,254,2,,2026-01-06
8011160,8010205,Berlin Hbf,Leipzig Hbf,75,0,,2026-01-06
8011160,8000080,Berlin Hbf,Dortmund Hbf,204,0,,2026-01-06
8011160,8000098,Berlin Hbf,Essen Hbf,229,0,,2026-01-06
8011160,8000050,Berlin Hbf,Bremen Hbf,164,0,,2026-01-06
8011160,8010085,Berlin Hbf,Dresden Hbf,99,0,,2026-01-06
8011160,8000152,Berlin Hbf,Hannover Hbf,93,0,,2026-01-06
8011160,8000284,Berlin Hbf,Nürnberg Hbf,166,0,,2026-01-06
8011160,8000086,Berlin Hbf,Duisburg Hbf,242,0,,2026-01-06
8011160,8601242,Berlin Hbf,Koebenhavns Lufthavn st,500,4,,2026-01-06
8011160,7100064,Berlin Hbf,Barcelona Sants,1024,4,,2026-01-06
8011160,8700012,Berlin Hbf,Paris Lyon Banlieue,531,6,,2026-01-06
8011160,8700047,Berlin Hbf,Bordeaux-St-Jean,673,6,,2026-01-06
8011160,8700074,Berlin Hbf,Marseille-St-Charles,730,4,,2026-01-06
8011160,8700152,Berlin Hbf,Lyon Part Dieu,622,4,,2026-01-06
8011160,8700065,Berlin Hbf,Toulouse-Matabiau,1068,8,,2026-01-06
8011160,7800020,Berlin Hbf,Zagreb Glavni kolodvor,894,4,,2026-01-06
8011160,5500728,Berlin Hbf,Budapest-Nyugati,660,2,,2026-01-06
8011160,8300262,Berlin Hbf,Roma Tiburtina,973,6,,2026-01-06
8011160,8300047,Berlin Hbf,Milano Porta Garibaldi,722,8,,2026-01-06
8011160,8300522,Berlin Hbf,Torino Porta Susa,833,6,,2026-01-06
8011160,8300153,Berlin Hbf,Genova Piazza Principe,836,6,,2026-01-06
8011160,8200100,Berlin Hbf,Luxembourg,499,4,,2026-01-06
8011160,8400597,Berlin Hbf,Tilburg,370,2,,2026-01-06
8011160,8400058,Berlin Hbf,Amsterdam Centraal,344,0,,2026-01-06
8011160,8400530,Berlin Hbf,Rotterdam Centraal,369,4,,2026-01-06
8011160,5100065,Berlin Hbf,Warszawa Centralna,306,2,,2026-01-06
8011160,5100028,Berlin Hbf,Krakow Glowny,412,0,,2026-01-06
8011160,5100069,Berlin Hbf,Wroclaw Glowny,241,0,,2026-01-06
8011160,5100081,Berlin Hbf,Poznan Glowny,161,0,,2026-01-06
8011160,7400002,Berlin Hbf,Stockholm Central,810,6,,2026-01-06
8011160,7900003,Berlin Hbf,Ljubljana,642,6,,2026-01-06
8011160,5600207,Berlin Hbf,Bratislava hl.st.,514,2,,2026-01-06
8000096,8103000,Stuttgart Hbf,Wien Hbf,394,2,,2026-01-06
8000096,8800004,Stuttgart Hbf,Bruxelles Midi,286,2,,2026-01-06
8000096,8800007,Stuttgart Hbf,Antwerpen Centraal,317,4,,2026-01-06
8000096,5400014,Stuttgart Hbf,Praha hl.n.,441,4,,2026-01-06
8000096,8011160,Stuttgart Hbf,Berlin Hbf,314,2,,2026-01-06
8000096,8000261,Stuttgart Hbf,München Hbf,117,0,,2026-01-06
8000096,8002549,Stuttgart Hbf,Hamburg Hbf,306,0,,2026-01-06
8000096,8003368,Stuttgart Hbf,Köln Messe/Deutz Gl.11-12,123,0,,2026-01-06
8000096,8000105,Stuttgart Hbf,Frankfurt(Main)Hbf,77,0,,2026-01-06
8000096,8000085,Stuttgart Hbf,Düsseldorf Hbf,147,0,,2026-01-06
8000096,8010205,Stuttgart Hbf,Leipzig Hbf,262,4,,2026-01-06
8000096,8000080,Stuttgart Hbf,Dortmund Hbf,202,0,,2026-01-06
8000096,8000098,Stuttgart Hbf,Essen Hbf,176,0,,2026-01-06
8000096,8000050,Stuttgart Hbf,Bremen Hbf,316,2,,2026-01-06
8000096,8010085,Stuttgart Hbf,Dresden Hbf,334,4,,2026-01-06
8000096,8000152,Stuttgart Hbf,Hannover Hbf,222,0,,2026-01-06
8000096,8000284,Stuttgart Hbf,Nürnberg Hbf,129,0,,2026-01-06
8000096,8000086,Stuttgart Hbf,Duisburg Hbf,163,0,,2026-01-06
8000096,8601242,Stuttgart Hbf,Koebenhavns Lufthavn st,665,4,,2026-01-06
8000096,7100064,Stuttgart Hbf,Barcelona Sants,742,2,,2026-01-06
8000096,8700012,Stuttgart Hbf,Paris Lyon Banlieue,232,2,,2026-01-06
8000096,8700047,Stuttgart Hbf,Bordeaux-St-Jean,382,2,,2026-01-06
8000096,8700074,Stuttgart Hbf,Marseille-St-Charles,457,2,,2026-01-06
8000096,8700152,Stuttgart Hbf,Lyon Part Dieu,351,4,,2026-01-06
8000096,8700065,Stuttgart Hbf,Toulouse-Matabiau,528,2,,2026-01-06
8000096,7800020,Stuttgart Hbf,Zagreb Glavni kolodvor,742,2,,2026-01-06
8000096,5500728,Stuttgart Hbf,Budapest-Nyugati,591,5,,2026-01-06
8000096,8300262,Stuttgart Hbf,Roma Tiburtina,626,4,,2026-01-06
8000096,8300047,Stuttgart Hbf,Milano Porta Garibaldi,413,4,,2026-01-06
8000096,8300522,Stuttgart Hbf,Torino Porta Susa,496,6,,2026-01-06
8000096,8300153,Stuttgart Hbf,Genova Piazza Principe,493,6,,2026-01-06
